"Target population","Event status at endline","Exposure status (sp has dm or not)","Sum of all person time","Mean person time","Min person time","Max person time"
"Women",0,0,17704.1840087623,9.5750048722349,1.49780941949617,13.8389923329682
"Women",0,1,5400.46276013144,9.85485905133473,2.37130339539978,13.6938663745893
"Women",1,0,4141.16100766703,8.16797042932353,1.13362541073384,13.2940854326396
"Women",1,1,1430.63253012048,7.99236050346638,0.933734939759036,13.0585980284775
"Men",0,0,17336.3143483023,9.49414805493007,3.53778751369113,13.855421686747
"Men",0,1,3580.32858707558,9.47176874887718,3.52135815991238,13.5761226725082
"Men",1,0,4344.92059145674,8.19796338010705,1.02135815991238,13.6746987951807
"Men",1,1,1275.88170865279,8.28494616008307,1.12267250821468,13.0558598028478
