"model","n","events","hr_spouse","hr_lcl","hr_ucl","p_value"
"Female: spouse status",3765,503,1.49931699066112,1.21486009225533,1.8503788648715,0.000159556094580182
"Female: spouse status + age",3765,503,1.26704616487288,1.01914171406694,1.57525294251042,0.0330033827531226
"Female: spouse status + Model 1",3765,503,1.22628667007943,0.985149208883807,1.52644795697324,0.0676705408962113
"Female: spouse status + Model 2",3765,503,1.17082280593438,0.938323492984032,1.46093117474507,0.162282369267607
"Male: spouse status",3509,553,1.4431245445412,1.11505064751495,1.86772543085701,0.0050924986548142
"Male: spouse status + age",3509,553,1.33908274050061,1.03472881455548,1.73295897503053,0.025898439661018
"Male: spouse status + Model 1",3509,553,1.3062482543234,1.01044129952043,1.68865277253886,0.0407263338309227
"Male: spouse status + Model 2",3509,553,1.22730616810545,0.946600510706405,1.59125250116929,0.120783378577
