"imp","sex","model","log_rr","log_rr_se","term_present","n_total","n_no_dm","n_dm"
27,"Women","Age",0.129413918936631,0.0774824975598546,TRUE,4239,3402,837
27,"Women","Model1",0.121841769229603,0.0776956851651772,TRUE,4239,3402,837
27,"Women","Model2",0.0523235961923328,0.0778767740217646,TRUE,4239,3402,837
28,"Women","Age",0.0450675439396082,0.0798509392740605,TRUE,4228,3396,832
28,"Women","Model1",0.0404263353082912,0.0800465223213668,TRUE,4228,3396,832
28,"Women","Model2",-0.0233445317326574,0.0801967790522961,TRUE,4228,3396,832
29,"Women","Age",0.126285747737829,0.0764593966387087,TRUE,4241,3395,846
29,"Women","Model1",0.120669014407757,0.076854980936257,TRUE,4241,3395,846
29,"Women","Model2",0.0622600253087332,0.0770281031595159,TRUE,4241,3395,846
30,"Women","Age",0.0516717801514777,0.0788430491713925,TRUE,4237,3395,842
30,"Women","Model1",0.0465943182892814,0.079041739179479,TRUE,4237,3395,842
30,"Women","Model2",-0.00282493514985724,0.0791442739708674,TRUE,4237,3395,842
