"Individual's status at baseline","Individuals with following partner's status at baseline","Age adjusted OR (95% CI)","Model 1 adjusted OR (95% CI)","Model 2 adjusted OR (95% CI)"
"Women without diabetes at baseline (n=4236)","No diabetes (n=3393)","1.00","1.00","1.00"
"Women without diabetes at baseline (n=4236)","Diabetes (n=843)","1.14 (0.93 - 1.40)","1.14 (0.93 - 1.39)","1.05 (0.85 - 1.29)"
"Men without diabetes at baseline (n=4047)","No diabetes (n=3393)","1.00","1.00","1.00"
"Men without diabetes at baseline (n=4047)","Diabetes (n=654)","1.32 (1.03 - 1.68)","1.29 (1.00 - 1.65)","1.23 (0.95 - 1.58)"
