"imp","sex","model","log_or","log_or_se","term_present","n_total","n_no_dm","n_dm"
27,"Women","Age",0.17437362262024,0.0907961377429611,TRUE,4239,3402,837
27,"Women","Model1",0.167715121250022,0.0919144763987192,TRUE,4239,3402,837
27,"Women","Model2",0.0770319878396654,0.0940291791848678,TRUE,4239,3402,837
28,"Women","Age",0.0593459079651641,0.0927839443075479,TRUE,4228,3396,832
28,"Women","Model1",0.0547898173474842,0.0940159857899431,TRUE,4228,3396,832
28,"Women","Model2",-0.0332856073271532,0.096337905559646,TRUE,4228,3396,832
29,"Women","Age",0.171119840582835,0.0899287326132214,TRUE,4241,3395,846
29,"Women","Model1",0.16809094055533,0.0913651174878913,TRUE,4241,3395,846
29,"Women","Model2",0.0922599558750994,0.0932690244844555,TRUE,4241,3395,846
30,"Women","Age",0.0682444388699404,0.0919147559308424,TRUE,4237,3395,842
30,"Women","Model1",0.0631584745427707,0.0930886137128893,TRUE,4237,3395,842
30,"Women","Model2",-0.0050790687271904,0.0951166244333316,TRUE,4237,3395,842
